Date,Price,Open,High,Low,Vol.,Change %
9-May-13,143.81,143.86,145.1,142.53,89.33K,0.06%
8-May-13,143.72,146.16,146.16,142.94,67.85K,-0.95%
7-May-13,145.1,143.81,147.4,143.81,229.24K,0.60%
6-May-13,144.23,146.16,148.04,143.49,183.31K,-1.48%
3-May-13,146.39,147.08,149.65,145.88,547.99K,-0.59%
2-May-13,147.26,144.09,147.9,143.86,407.75K,1.78%
30-Apr-13,144.69,144.13,145.24,143.03,207.49K,0.90%
29-Apr-13,143.4,142.16,144.27,142.16,93.24K,0.77%
26-Apr-13,142.3,143.4,144.78,141.01,313.15K,-0.22%
25-Apr-13,142.62,137.01,143.26,136.96,412.97K,4.06%
23-Apr-13,137.06,137.06,137.42,136.09,119.83K,0.17%
22-Apr-13,136.83,133.29,137.29,133.29,159.48K,2.03%
18-Apr-13,134.11,132.87,134.44,132.87,160.98K,1.14%
17-Apr-13,132.6,131.95,134.11,131.95,972.58K,0.28%
16-Apr-13,132.23,129.52,133.06,129.52,206.68K,2.24%
15-Apr-13,129.33,129.15,129.61,128.14,71.69K,-0.04%
12-Apr-13,129.38,128.74,129.89,128.42,104.73K,0.36%
11-Apr-13,128.92,130.53,130.53,128.23,280.61K,-1.47%
10-Apr-13,130.85,129.56,131.54,128.97,81.96K,0.85%
9-Apr-13,129.75,129.61,131.54,129.47,149.25K,0.25%
8-Apr-13,129.43,129.11,130.85,127.86,105.47K,-0.03%
5-Apr-13,129.47,132.37,132.55,128.09,263.26K,-2.43%
4-Apr-13,132.69,133.38,134.53,132.23,644.60K,-0.62%
3-Apr-13,133.52,132.37,135.03,132.37,217.48K,0.94%
2-Apr-13,132.28,132,133.01,131.82,156.40K,0.32%
1-Apr-13,131.86,130.99,133.1,130.53,157.74K,1.02%
28-Mar-13,130.53,130.9,131.27,129.2,4.31M,-0.35%
26-Mar-13,130.99,130.99,131.68,130.25,3.86M,0.07%
25-Mar-13,130.9,129.06,132.6,129.06,3.93M,2.04%
22-Mar-13,128.28,127.22,130.85,126.72,4.01M,1.06%
21-Mar-13,126.94,128.28,129.47,125.11,382.49K,-0.90%
20-Mar-13,128.09,133.1,133.1,127.77,304.96K,-3.43%
19-Mar-13,132.64,133.33,135.17,132,236.05K,-0.83%
18-Mar-13,133.75,133.75,134.02,132.41,100.29K,-0.27%
15-Mar-13,134.11,135.17,136.23,133.61,246.57K,-0.62%
14-Mar-13,134.94,135.13,135.63,134.48,281.76K,0.13%
13-Mar-13,134.76,135.59,136.05,133.93,196.84K,-0.91%
12-Mar-13,136,137.98,138.34,135.4,137.98K,-0.97%
11-Mar-13,137.33,137.01,137.75,136.55,509.11K,0.23%
8-Mar-13,137.01,136.78,138.39,136.41,569.65K,0.57%
7-Mar-13,136.23,136.55,137.06,135.86,154.49K,-0.20%
6-Mar-13,136.5,137.19,138.62,136.23,183.78K,-0.60%
5-Mar-13,137.33,137.47,138.11,135.82,276.84K,-0.10%
4-Mar-13,137.47,137.52,138.16,135.82,211.07K,-0.10%
1-Mar-13,137.61,137.7,138.25,135.59,249.02K,-0.69%
28-Feb-13,138.57,141.65,143.31,137.56,419.54K,-2.05%
27-Feb-13,141.47,139.26,142.02,138.48,397.37K,1.92%
26-Feb-13,138.8,137.61,139.81,136.64,211.76K,0.73%
25-Feb-13,137.79,139.35,140.37,137.15,191.49K,-0.96%
22-Feb-13,139.12,140.27,140.27,137.56,142.30K,-0.20%
21-Feb-13,139.4,140.14,140.64,139.08,887.36K,-0.39%
20-Feb-13,139.95,141.1,141.74,139.58,306.61K,-0.82%
19-Feb-13,141.1,139.49,141.33,138.94,412.54K,1.62%
18-Feb-13,138.85,137.88,139.26,137.88,124.94K,0.70%
15-Feb-13,137.88,137.84,139.12,136.96,280.46K,0.43%
14-Feb-13,137.29,136.96,138.16,136.5,1.47M,0.78%
13-Feb-13,136.23,135.54,137.01,135.49,391.40K,0.51%
12-Feb-13,135.54,136.05,136.41,135.03,537.48K,-0.07%
11-Feb-13,135.63,136.83,136.96,135.22,334.59K,-0.31%
8-Feb-13,136.05,135.13,138.48,134.71,4.43M,-0.10%
7-Feb-13,136.18,137.38,138.62,135.72,2.59M,-2.73%
6-Feb-13,140,142.11,142.48,138.94,935.24K,-2.12%
5-Feb-13,143.03,142.94,144.87,141.61,152.34K,0.16%
4-Feb-13,142.8,144.27,145.19,142.48,125.08K,-0.90%
1-Feb-13,144.09,145.15,145.97,143.49,196.98K,0.10%
31-Jan-13,143.95,145.1,145.1,142.25,155.16K,0.45%
30-Jan-13,143.31,145.51,145.51,142.76,234.24K,-0.82%
29-Jan-13,144.5,145.01,145.47,144,76.52K,-0.35%
28-Jan-13,145.01,146.94,146.94,142.48,233.75K,-0.97%
25-Jan-13,146.43,147.49,148.73,145.93,85.13K,-0.50%
24-Jan-13,147.17,148,149.51,146.8,119.68K,-1.39%
23-Jan-13,149.24,152.5,152.5,148.22,197.46K,-1.06%
22-Jan-13,150.84,149.97,151.99,149.83,370.82K,1.45%
21-Jan-13,148.68,151.4,153.74,147.81,652.66K,-1.46%
18-Jan-13,150.89,144.59,151.53,144.59,1.70M,4.59%
17-Jan-13,144.27,142.76,144.59,142.76,93.06K,0.58%
16-Jan-13,143.44,142.85,144.09,142.85,627.28K,0.19%
15-Jan-13,143.17,142.07,143.77,140.87,891.83K,0.85%
14-Jan-13,141.97,141.15,142.2,140.69,95.41K,1.31%
11-Jan-13,140.14,141.56,142.66,139.91,133.87K,-1.13%
10-Jan-13,141.74,143.12,144.18,141.33,259.54K,-0.94%
9-Jan-13,143.08,145.19,146.06,142.57,82.13K,-1.02%
8-Jan-13,144.55,144.73,145.24,143.86,110.37K,-0.12%
7-Jan-13,144.73,146.06,146.39,144.18,114.21K,-0.73%
4-Jan-13,145.79,145.19,146.39,144.78,161.93K,0.70%
3-Jan-13,144.78,144.78,146.48,144.13,121.73K,0.16%
2-Jan-13,144.55,143.31,145.15,143.31,127.45K,1.23%
1-Jan-13,142.8,143.81,144.92,142.48,125.40K,-0.70%
31-Dec-12,143.81,143.44,144.5,143.44,105.45K,0.06%
28-Dec-12,143.72,142.94,145.24,142.8,88.09K,0.58%
27-Dec-12,142.89,142.48,143.86,142.11,196.10K,0.32%
26-Dec-12,142.43,142.11,143.03,141.56,115.82K,0.42%
24-Dec-12,141.84,139.86,142.43,139.86,86.21K,0.75%
21-Dec-12,140.78,141.65,141.65,140.27,78.56K,-0.59%
20-Dec-12,141.61,142.43,142.71,140.92,277.22K,-0.45%
19-Dec-12,142.25,142.71,143.35,140.92,152.43K,-0.32%
18-Dec-12,142.71,142.48,143.67,141.56,163.35K,0.59%
