"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 16, 2015","123.45","130.00","130.00","121.85","959.60K","-4.63%"
"Aug 09, 2015","129.45","133.00","134.50","126.90","881.97K","-3.29%"
"Aug 02, 2015","133.85","135.00","137.80","133.20","719.69K","-0.78%"
"Jul 26, 2015","134.90","137.40","139.25","132.65","4.38M","-1.89%"
"Jul 19, 2015","137.50","135.90","138.70","134.00","541.73K","1.74%"
"Jul 12, 2015","135.15","130.00","135.55","129.20","591.97K","4.08%"
"Jul 05, 2015","129.85","137.00","138.45","128.15","1.38M","-6.48%"
"Jun 28, 2015","138.85","136.60","139.70","135.40","837.11K","0.87%"
"Jun 21, 2015","137.65","137.50","140.00","135.05","672.34K","1.18%"
"Jun 14, 2015","136.05","136.50","138.00","134.75","790.21K","-0.37%"
"Jun 07, 2015","136.55","140.50","140.80","135.80","946.95K","-2.57%"
"May 31, 2015","140.15","136.80","141.15","136.00","868.13K","2.52%"
"May 24, 2015","136.70","135.40","139.00","131.35","1.44M","0.96%"
"May 17, 2015","135.40","137.00","138.50","134.25","964.23K","-0.55%"
"May 10, 2015","136.15","142.30","145.65","134.30","3.09M","-4.15%"
"May 03, 2015","142.05","152.00","153.00","141.70","863.76K","-5.49%"
"Apr 26, 2015","150.30","150.00","153.30","147.00","492.96K","0.10%"
"Apr 19, 2015","150.15","158.10","160.00","148.00","1.15M","-4.97%"
"Apr 12, 2015","158.00","155.65","158.80","153.60","1.09M","1.48%"
"Apr 05, 2015","155.70","147.80","158.40","147.80","1.57M","5.27%"
"Mar 29, 2015","147.90","146.00","149.80","145.00","3.19M","1.51%"
"Mar 22, 2015","145.70","145.45","154.75","143.05","3.37M","0.14%"
"Mar 15, 2015","145.50","146.16","148.05","138.21","7.64M","-0.79%"
"Mar 08, 2015","146.66","145.01","151.40","136.83","2.40M","1.14%"
"Mar 01, 2015","145.01","144.32","147.08","142.62","2.03M","-0.38%"
"Feb 22, 2015","145.56","134.21","146.48","132.78","3.32M","8.90%"
"Feb 15, 2015","133.66","131.45","135.68","130.71","1.21M","1.68%"
"Feb 08, 2015","131.45","128.69","131.77","125.70","4.34M","2.14%"
"Feb 01, 2015","128.69","132.37","132.97","127.13","1.63M","-2.64%"
"Jan 25, 2015","132.18","132.28","135.45","129.43","2.56M","1.30%"
"Jan 18, 2015","130.48","128.92","132.64","128.09","1.57M","1.10%"
"Jan 11, 2015","129.06","130.99","130.99","126.21","815.67K","0.18%"
"Jan 04, 2015","128.83","133.29","133.61","127.40","1.40M","-3.01%"
"Dec 28, 2014","132.83","128.37","133.29","128.32","858.72K","3.70%"
"Dec 21, 2014","128.09","125.06","132.41","125.06","1.31M","2.84%"
"Dec 14, 2014","124.55","122.99","125.43","116.56","2.37M","1.96%"
"Dec 07, 2014","122.16","129.61","130.71","121.61","1.32M","-5.71%"
"Nov 30, 2014","129.56","131.17","132.92","128.32","756.56K","-1.16%"
"Nov 23, 2014","131.08","131.04","132.28","128.14","1.09M","-0.04%"
"Nov 16, 2014","131.13","131.45","136.41","129.93","1.02M","-0.38%"
"Nov 09, 2014","131.63","132.83","135.59","129.11","1.29M","-0.90%"
"Nov 02, 2014","132.83","137.98","137.98","132.51","703.69K","-3.63%"
"Oct 26, 2014","137.84","136.14","138.71","133.01","1.48M","2.04%"
"Oct 19, 2014","135.08","129.70","136.92","129.70","1.15M","4.18%"
"Oct 12, 2014","129.66","129.61","130.53","126.81","3.00M","-0.10%"
"Oct 05, 2014","129.79","127.77","133.29","126.85","2.15M","1.61%"
"Sep 28, 2014","127.73","129.01","129.01","126.49","802.14K","-0.28%"
"Sep 21, 2014","128.09","126.81","128.46","124.65","1.84M","1.01%"
"Sep 14, 2014","126.81","126.81","127.54","121.15","1.72M","0.00%"
"Sep 07, 2014","126.81","131.91","132.28","126.58","1.82M","-3.36%"
"Aug 31, 2014","131.22","127.31","131.91","126.30","2.22M","3.67%"
"Aug 24, 2014","126.58","130.76","131.36","126.21","1.88M","-3.23%"
"Aug 17, 2014","130.81","131.04","134.02","129.66","1.30M","0.18%"
"Aug 10, 2014","130.58","127.77","130.90","124.19","1.88M","2.94%"
"Aug 03, 2014","126.85","129.61","131.13","125.93","2.10M","-1.96%"
"Jul 27, 2014","129.38","136.96","138.16","128.69","2.52M","-5.51%"
"Jul 20, 2014","136.92","137.88","138.99","135.13","4.26M","-0.53%"
"Jul 13, 2014","137.65","137.61","138.80","131.27","4.67M","0.07%"
"Jul 06, 2014","137.56","146.16","149.83","134.07","6.15M","-5.67%"
"Jun 29, 2014","145.83","140.69","147.90","140.64","2.35M","3.96%"
"Jun 22, 2014","140.27","139.45","144.87","138.89","2.02M","0.59%"
"Jun 15, 2014","139.45","142.94","144.18","137.93","3.42M","-1.13%"
"Jun 08, 2014","141.05","153.05","153.88","139.45","5.41M","-7.23%"
"Jun 01, 2014","152.04","147.58","155.17","142.94","9.67M","3.47%"
"May 25, 2014","146.94","150.02","154.02","137.42","5.99M","-0.31%"
"May 18, 2014","147.40","122.26","148.91","122.26","11.53M","21.62%"
"May 11, 2014","121.20","109.39","126.72","108.93","9.23M","11.41%"
"May 04, 2014","108.79","105.30","109.07","104.42","12.51M","3.31%"
"Apr 27, 2014","105.30","108.47","109.80","105.07","1.58M","-3.57%"
"Apr 20, 2014","109.20","113.98","114.86","108.93","1.64M","-3.46%"
"Apr 13, 2014","113.11","114.90","115.68","111.09","1.25M","-1.21%"
"Apr 06, 2014","114.49","110.31","115.04","109.25","1.75M","3.32%"
"Mar 30, 2014","110.81","112.15","114.21","109.20","1.96M","-0.25%"
"Mar 23, 2014","111.09","105.25","111.69","103.73","3.03M","5.96%"
"Mar 16, 2014","104.84","107.37","109.39","104.56","1.28M","-2.52%"
"Mar 09, 2014","107.55","107.55","109.43","105.71","2.40M","0.65%"
"Mar 02, 2014","106.86","103.50","107.64","101.94","3.12M","3.25%"
"Feb 23, 2014","103.50","119.13","119.13","103.05","7.76M","-14.80%"
"Feb 16, 2014","121.48","120.97","123.59","120.19","496.52K","-0.03%"
"Feb 09, 2014","121.52","125.01","125.57","119.18","3.64M","-2.79%"
"Feb 02, 2014","125.01","116.65","125.15","114.90","3.58M","7.59%"
"Jan 26, 2014","116.19","120.33","121.15","113.75","1.61M","-3.95%"
"Jan 19, 2014","120.97","121.15","122.62","119.45","2.06M","0.00%"
"Jan 12, 2014","120.97","120.60","123.27","120.42","1.48M","0.15%"
"Jan 05, 2014","120.79","121.57","123.27","118.86","1.65M","-0.45%"
"Dec 29, 2013","121.34","126.44","127.40","121.06","1.21M","-3.90%"
"Dec 22, 2013","126.26","125.01","128.60","124.19","986.26K","1.03%"
"Dec 15, 2013","124.97","127.13","127.31","123.08","2.67M","-1.23%"
"Dec 08, 2013","126.53","138.94","142.11","124.10","11.11M","-7.62%"
"Dec 01, 2013","136.96","135.13","137.61","131.63","1.74M","1.11%"
"Nov 24, 2013","135.45","138.53","139.72","134.57","705.46K","-2.16%"
"Nov 17, 2013","138.44","140.27","144.46","136.96","1.22M","-1.40%"
"Nov 10, 2013","140.41","138.80","142.02","135.49","450.35K","0.10%"
"Nov 03, 2013","140.27","134.21","142.66","133.29","2.18M","4.41%"
"Oct 27, 2013","134.34","132.37","137.56","131.54","542.59K","0.65%"
"Oct 20, 2013","133.47","133.29","137.84","130.85","656.68K","-0.24%"
"Oct 13, 2013","133.79","132.32","135.08","130.58","752.76K","1.11%"
"Oct 06, 2013","132.32","130.58","136.92","129.01","1.17M","0.95%"
"Sep 29, 2013","131.08","136.05","137.65","130.71","4.28M","-3.52%"
"Sep 22, 2013","135.86","135.77","137.88","129.84","1.10M","0.03%"
"Sep 15, 2013","135.82","129.79","139.12","127.59","1.16M","4.83%"
"Sep 08, 2013","129.56","123.36","130.07","123.36","596.97K","5.03%"
"Sep 01, 2013","123.36","121.15","124.00","115.32","1.55M","2.64%"
"Aug 25, 2013","120.19","119.64","122.72","112.74","2.18M","1.36%"
"Aug 18, 2013","118.58","128.69","128.69","116.05","1.28M","-7.59%"
"Aug 11, 2013","128.32","125.93","134.11","123.82","973.66K","1.60%"
"Aug 04, 2013","126.30","119.59","128.23","119.50","2.26M","5.73%"
"Jul 28, 2013","119.45","129.79","131.31","116.37","1.46M","-8.00%"
"Jul 21, 2013","129.84","131.91","133.06","127.54","513.28K","-1.70%"
"Jul 14, 2013","132.09","134.21","136.96","130.25","734.88K","-1.65%"
"Jul 07, 2013","134.30","132.00","134.85","127.77","1.65M","1.81%"
"Jun 30, 2013","131.91","131.45","136.27","131.22","1.41M","-0.14%"
"Jun 23, 2013","132.09","130.81","133.75","126.53","2.10M","0.46%"
"Jun 16, 2013","131.49","139.54","139.54","126.99","731.66K","-5.64%"
"Jun 09, 2013","139.35","137.42","139.81","136.05","1.13M","2.43%"
"Jun 02, 2013","136.05","142.48","142.94","134.57","741.54K","-4.14%"
"May 26, 2013","141.93","139.03","144.59","138.57","1.56M","2.77%"
"May 19, 2013","138.11","146.16","147.86","136.18","3.33M","-5.98%"
"May 12, 2013","146.89","140.73","147.90","140.46","905.09K","2.99%"
"May 05, 2013","142.62","146.16","148.04","141.10","1.39M","-2.58%"
"Apr 28, 2013","146.39","142.16","149.65","142.16","1.26M","2.87%"
"Apr 21, 2013","142.30","133.29","144.78","133.29","1.01M","6.11%"
"Apr 14, 2013","134.11","129.15","134.44","128.14","1.41M","3.66%"
"Apr 07, 2013","129.38","129.11","131.54","127.86","722.01K","-0.07%"
"Mar 31, 2013","129.47","130.99","135.03","128.09","1.44M","-0.81%"
"Mar 24, 2013","130.53","129.06","132.60","129.06","12.11M","1.75%"
"Mar 17, 2013","128.28","133.75","135.17","125.11","5.03M","-4.35%"
"Mar 10, 2013","134.11","137.01","138.34","133.61","1.37M","-2.12%"
"Mar 03, 2013","137.01","137.52","138.62","135.82","1.40M","-0.44%"
"Feb 24, 2013","137.61","139.35","143.31","135.59","1.47M","-1.09%"
"Feb 17, 2013","139.12","137.88","141.74","137.56","1.87M","0.90%"
"Feb 10, 2013","137.88","136.83","139.12","135.03","3.01M","1.35%"
"Feb 03, 2013","136.05","144.27","145.19","134.71","8.23M","-5.58%"
"Jan 27, 2013","144.09","146.94","146.94","142.25","896.64K","-1.60%"
"Jan 20, 2013","146.43","151.40","153.74","145.93","1.43M","-2.96%"
"Jan 13, 2013","150.89","141.15","151.53","140.69","3.40M","7.67%"
"Jan 06, 2013","140.14","146.06","146.39","139.91","700.12K","-3.88%"
"Dec 30, 2012","145.79","143.44","146.48","142.48","641.94K","1.44%"
"Dec 23, 2012","143.72","139.86","145.24","139.86","486.23K","2.09%"
"Dec 16, 2012","140.78","140.83","143.67","140.00","1.27M","0.29%"
"Dec 09, 2012","140.37","147.08","147.08","137.33","2.20M","-4.53%"
"Dec 02, 2012","147.03","148.91","149.28","144.00","1.62M","-1.33%"
"Nov 25, 2012","149.01","147.08","149.56","144.36","896.86K","1.63%"
"Nov 18, 2012","146.62","153.42","155.53","145.70","1.04M","-4.03%"
"Nov 11, 2012","152.78","154.20","154.43","152.32","873.12K","-0.44%"
"Nov 04, 2012","153.46","154.43","156.91","152.73","344.58K","-0.60%"
"Oct 28, 2012","154.38","156.18","156.27","151.40","360.80K","-0.62%"
"Oct 21, 2012","155.35","152.78","158.11","152.50","2.03M","1.62%"
"Oct 14, 2012","152.87","154.43","156.27","152.68","1.20M","-1.42%"
"Oct 07, 2012","155.07","156.96","159.67","152.41","1.16M","-1.20%"
"Sep 30, 2012","156.96","154.43","158.70","152.13","665.07K","1.73%"
"Sep 23, 2012","154.29","154.80","157.05","149.83","1.36M","-0.48%"
"Sep 16, 2012","155.03","155.35","157.10","150.29","771.41K","0.33%"
"Sep 09, 2012","154.52","157.42","161.19","153.60","407.75K","-2.27%"
"Sep 02, 2012","158.11","154.25","159.94","152.45","408.61K","2.32%"
"Aug 26, 2012","154.52","154.43","158.61","153.60","424.98K","-0.33%"
"Aug 19, 2012","155.03","154.66","160.73","154.38","353.82K","0.24%"
"Aug 12, 2012","154.66","157.78","159.03","153.92","505.89K","-2.10%"
"Aug 05, 2012","157.97","151.90","158.43","151.03","1.95M","3.34%"
"Jul 29, 2012","152.87","140.64","154.89","140.64","9.82M","8.66%"
"Jul 22, 2012","140.69","143.08","143.08","137.19","4.56M","-1.79%"
"Jul 15, 2012","143.26","146.43","147.67","143.03","306.59K","-2.32%"
"Jul 08, 2012","146.66","147.35","149.83","144.46","279.55K","-0.81%"
"Jul 01, 2012","147.86","146.52","149.37","145.61","478.86K","0.69%"
