Date,Price,Open,High,Low,Vol.,Change %,,
25-Aug-15,4199.45,4265.30,4350.00,4062.00,56.95K,-1.20%,,
24-Aug-15,4250.25,4389.00,4446.40,4206.00,92.50K,-6.98%,,
21-Aug-15,4569.05,4570.00,4610.00,4530.05,38.01K,-1.35%,,
20-Aug-15,4631.75,4649.00,4689.20,4599.00,33.46K,-0.84%,,
19-Aug-15,4671.15,4639.00,4686.35,4608.00,31.00K,0.79%,,
18-Aug-15,4634.55,4568.10,4650.00,4540.00,26.98K,2.03%,,
17-Aug-15,4542.35,4580.00,4586.00,4536.50,20.28K,-0.79%,,
14-Aug-15,4578.45,4505.00,4595.00,4491.75,43.68K,1.98%,,
13-Aug-15,4489.70,4455.00,4555.00,4430.75,19.71K,1.02%,,
12-Aug-15,4444.25,4500.00,4509.05,4420.60,21.95K,-1.34%,,
11-Aug-15,4504.80,4511.00,4530.00,4467.00,28.37K,0.16%,,
10-Aug-15,4497.70,4460.00,4505.85,4448.00,28.86K,1.03%,,
7-Aug-15,4451.95,4452.00,4467.20,4430.65,23.43K,0.00%,,
6-Aug-15,4452.00,4470.00,4482.00,4430.65,42.68K,-0.42%,,
5-Aug-15,4470.70,4450.00,4489.00,4425.00,61.29K,0.73%,,
4-Aug-15,4438.10,4442.00,4451.20,4413.00,59.52K,0.19%,,
3-Aug-15,4429.60,4375.20,4438.00,4375.20,39.78K,2.29%,,
31-Jul-15,4330.40,4304.80,4356.95,4286.00,40.76K,0.86%,,
30-Jul-15,4293.55,4360.00,4360.00,4281.60,30.19K,0.46%,,
29-Jul-15,4273.95,4226.20,4306.90,4174.05,169.73K,1.87%,,
28-Jul-15,4195.65,4199.95,4243.90,4152.50,192.38K,0.46%,,
27-Jul-15,4176.35,4268.00,4268.00,4163.85,34.35K,-1.35%,,
24-Jul-15,4233.65,4235.00,4258.85,4208.25,25.25K,-0.05%,,
23-Jul-15,4235.65,4191.00,4243.90,4190.00,41.88K,1.11%,,
22-Jul-15,4189.15,4158.00,4199.00,4138.00,28.97K,0.73%,,
21-Jul-15,4158.80,4177.00,4190.00,4145.70,27.11K,-0.44%,,
20-Jul-15,4177.10,4194.05,4218.95,4165.05,23.72K,-0.40%,,
17-Jul-15,4194.05,4180.00,4225.25,4162.90,34.34K,0.33%,,
16-Jul-15,4180.40,4174.95,4191.40,4156.50,35.98K,0.61%,,
15-Jul-15,4155.00,4077.00,4182.00,4070.00,78.49K,2.63%,,
14-Jul-15,4048.70,4036.75,4060.00,4023.75,22.10K,0.30%,,
13-Jul-15,4036.60,3934.20,4042.00,3934.20,24.35K,2.56%,,
10-Jul-15,3936.00,3950.00,3960.00,3921.50,13.89K,-0.01%,,
9-Jul-15,3936.55,3953.00,3965.00,3930.05,15.91K,-0.38%,,
8-Jul-15,3951.55,3971.00,3971.00,3910.00,25.54K,-0.53%,,
