"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2015","363.00","376.45","379.95","359.65","665.41K","-3.50%"
"Apr 19, 2015","376.15","382.00","385.80","370.60","665.97K","-1.30%"
"Apr 12, 2015","381.10","389.00","395.40","379.40","481.63K","-1.79%"
"Apr 05, 2015","388.05","365.00","389.00","356.35","1.18M","6.95%"
"Mar 29, 2015","362.85","352.00","365.80","346.80","632.92K","4.43%"
"Mar 22, 2015","347.45","368.00","372.70","346.20","1.52M","-5.61%"
"Mar 15, 2015","368.10","366.55","371.00","359.75","1.06M","0.93%"
"Mar 08, 2015","364.70","363.00","372.00","356.00","1.47M","0.21%"
"Mar 01, 2015","363.95","397.10","398.00","362.00","1.56M","-7.97%"
"Feb 22, 2015","395.45","383.30","397.70","378.65","1.48M","3.33%"
"Feb 15, 2015","382.70","379.00","389.70","375.30","1.31M","1.38%"
"Feb 08, 2015","377.50","362.00","379.70","358.00","2.62M","3.67%"
"Feb 01, 2015","364.15","353.05","374.80","349.95","13.65M","0.91%"
"Jan 25, 2015","360.85","392.50","393.70","360.10","3.91M","-8.39%"
"Jan 18, 2015","393.90","378.00","399.85","373.75","937.06K","4.23%"
"Jan 11, 2015","377.90","374.05","379.55","356.75","1.17M","0.57%"
"Jan 04, 2015","375.75","380.00","385.60","372.20","813.17K","-1.55%"
"Dec 28, 2014","381.65","378.50","388.50","378.50","459.15K","1.01%"
"Dec 21, 2014","377.85","378.00","393.00","374.00","841.79K","0.35%"
"Dec 14, 2014","376.55","364.00","380.50","359.00","1.04M","3.07%"
"Dec 07, 2014","365.35","358.00","368.70","355.40","1.02M","2.50%"
"Nov 30, 2014","356.45","354.90","359.40","346.40","1.18M","0.48%"
"Nov 23, 2014","354.75","345.05","357.85","341.40","1.08M","2.20%"
"Nov 16, 2014","347.10","356.00","359.20","343.75","1.22M","-2.64%"
"Nov 09, 2014","356.50","340.05","358.45","340.00","1.50M","3.42%"
"Nov 02, 2014","344.70","372.00","375.15","342.30","1.22M","-6.67%"
"Oct 26, 2014","369.35","352.00","370.85","348.00","844.74K","4.71%"
"Oct 19, 2014","352.75","357.90","366.40","351.50","828.36K","0.34%"
"Oct 12, 2014","351.55","336.00","354.30","331.60","1.23M","5.08%"
"Oct 05, 2014","334.55","343.00","347.80","333.50","1.05M","-2.76%"
"Sep 28, 2014","344.05","347.30","349.75","338.75","683.60K","-1.14%"
"Sep 21, 2014","348.00","343.00","362.35","333.00","2.62M","0.62%"
"Sep 14, 2014","345.85","358.00","358.00","336.55","1.19M","-3.38%"
"Sep 07, 2014","357.95","365.50","384.90","355.30","1.71M","-3.58%"
"Aug 31, 2014","371.25","358.00","381.50","358.00","1.39M","4.17%"
"Aug 24, 2014","356.40","359.00","365.00","351.50","806.30K","-0.25%"
"Aug 17, 2014","357.30","355.80","372.00","354.70","950.43K","0.20%"
"Aug 10, 2014","356.60","358.10","368.00","348.00","781.54K","0.48%"
"Aug 03, 2014","354.90","359.50","367.45","351.80","1.68M","-1.27%"
"Jul 27, 2014","359.45","378.65","378.65","356.10","2.52M","-4.45%"
"Jul 20, 2014","376.20","376.00","393.25","374.35","1.84M","0.23%"
"Jul 13, 2014","375.35","364.00","378.55","353.00","1.86M","3.56%"
"Jul 06, 2014","362.45","396.00","399.50","357.05","2.99M","-8.02%"
"Jun 29, 2014","394.05","383.00","399.20","381.70","1.47M","3.11%"
"Jun 22, 2014","382.15","386.45","403.00","380.30","1.58M","-1.11%"
"Jun 15, 2014","386.45","389.35","403.90","378.50","2.40M","-0.68%"
"Jun 08, 2014","389.10","394.00","423.85","386.00","4.81M","-0.49%"
"Jun 01, 2014","391.00","370.50","397.30","367.05","2.66M","5.35%"
"May 25, 2014","371.15","406.00","417.00","369.00","3.98M","-6.64%"
"May 18, 2014","397.55","350.00","401.00","346.00","5.88M","15.02%"
"May 11, 2014","345.65","310.00","365.20","308.45","4.46M","11.84%"
"May 04, 2014","309.05","296.00","310.00","293.20","958.25K","4.59%"
"Apr 27, 2014","295.50","298.00","299.95","289.50","543.51K","-1.52%"
"Apr 20, 2014","300.05","290.00","304.15","290.00","970.90K","3.15%"
"Apr 13, 2014","290.90","293.00","295.35","285.50","569.54K","-0.73%"
"Apr 06, 2014","293.05","293.00","294.00","277.00","750.66K","3.92%"
"Mar 30, 2014","282.00","287.00","292.10","275.30","1.03M","-1.36%"
"Mar 23, 2014","285.90","263.40","287.50","263.40","1.63M","8.62%"
"Mar 16, 2014","263.20","265.25","275.50","256.30","2.38M","-0.25%"
"Mar 09, 2014","263.85","263.00","267.80","252.85","1.10M","-0.23%"
"Mar 02, 2014","264.45","244.50","265.90","240.80","3.25M","8.38%"
"Feb 23, 2014","244.00","251.20","254.95","240.50","949.01K","-2.87%"
"Feb 16, 2014","251.20","260.00","260.00","250.15","637.15K","-3.59%"
"Feb 09, 2014","260.55","269.00","271.10","256.75","1.82M","-3.30%"
"Feb 02, 2014","269.45","246.50","270.45","243.45","1.67M","8.87%"
"Jan 26, 2014","247.50","257.00","257.90","244.45","1.19M","-4.03%"
"Jan 19, 2014","257.90","272.90","274.55","257.00","2.23M","-5.44%"
"Jan 12, 2014","272.75","290.00","304.95","271.10","7.88M","-5.52%"
"Jan 05, 2014","288.70","279.00","297.00","274.10","1.97M","3.94%"
"Dec 29, 2013","277.75","282.50","295.15","276.10","808.89K","-1.84%"
"Dec 22, 2013","282.95","286.00","286.50","280.25","414.36K","-0.46%"
"Dec 15, 2013","284.25","286.00","289.90","276.10","1.29M","0.25%"
"Dec 08, 2013","283.55","295.00","297.95","274.95","1.51M","-2.09%"
"Dec 01, 2013","289.60","270.00","292.10","268.10","1.45M","6.63%"
"Nov 24, 2013","271.60","269.00","274.15","261.10","799.00K","1.44%"
"Nov 17, 2013","267.75","274.50","277.25","265.90","2.05M","-2.32%"
"Nov 10, 2013","274.10","291.00","294.00","271.50","1.27M","-5.89%"
"Nov 03, 2013","291.25","291.30","301.65","289.95","2.71M","-0.41%"
"Oct 27, 2013","292.45","280.00","295.00","275.30","593.92K","4.80%"
"Oct 20, 2013","279.05","284.95","293.80","276.40","961.44K","-2.38%"
"Oct 13, 2013","285.85","284.00","288.00","279.60","504.40K","1.15%"
"Oct 06, 2013","282.60","308.00","308.00","280.70","2.38M","-8.84%"
"Sep 29, 2013","310.00","304.90","314.85","293.10","694.18K","0.96%"
"Sep 22, 2013","307.05","299.00","309.00","292.65","1.06M","1.96%"
"Sep 15, 2013","301.15","294.00","305.00","284.40","1.64M","2.71%"
"Sep 08, 2013","293.20","281.00","299.60","280.55","628.65K","5.68%"
"Sep 01, 2013","277.45","252.30","295.00","252.30","1.10M","10.76%"
"Aug 25, 2013","250.50","269.95","279.00","238.35","1.42M","-7.15%"
"Aug 18, 2013","269.80","255.00","272.70","250.30","1.27M","4.43%"
"Aug 11, 2013","258.35","270.00","277.95","258.00","659.73K","-3.67%"
"Aug 04, 2013","268.20","250.00","270.50","248.00","828.57K","5.36%"
"Jul 28, 2013","254.55","283.00","286.00","250.65","833.64K","-9.86%"
"Jul 21, 2013","282.40","297.00","303.35","276.70","1.27M","-4.68%"
"Jul 14, 2013","296.25","296.25","297.40","286.70","1.03M","-1.25%"
"Jul 07, 2013","300.00","297.00","302.70","284.65","1.48M","0.98%"
