"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 16, 2013","1,554.95","1,524.00","1,560.00","1,495.00","306.84K","2.63%"
"Jun 09, 2013","1,515.05","1,570.20","1,579.00","1,431.00","285.83K","-2.56%"
"Jun 02, 2013","1,554.85","1,605.00","1,605.00","1,534.00","322.12K","-3.19%"
"May 26, 2013","1,606.10","1,675.00","1,675.00","1,598.35","299.76K","-3.67%"
"May 19, 2013","1,667.30","1,711.00","1,773.45","1,587.00","503.63K","-2.46%"
"May 12, 2013","1,709.40","1,742.00","1,756.00","1,670.00","300.03K","-0.97%"
"May 05, 2013","1,726.15","1,661.00","1,731.95","1,654.70","392.61K","3.64%"
"Apr 28, 2013","1,665.50","1,680.60","1,709.25","1,643.00","425.76K","-0.48%"
"Apr 21, 2013","1,673.45","1,530.00","1,690.40","1,515.00","792.11K","9.64%"
"Apr 14, 2013","1,526.30","1,403.00","1,533.15","1,397.05","300.50K","8.26%"
"Apr 07, 2013","1,409.80","1,407.00","1,441.05","1,382.10","331.54K","0.27%"
"Mar 31, 2013","1,405.95","1,284.75","1,424.50","1,260.00","461.20K","9.87%"
"Mar 24, 2013","1,279.70","1,319.00","1,329.85","1,266.00","120.79K","-1.75%"
"Mar 17, 2013","1,302.50","1,380.00","1,393.30","1,285.35","248.65K","-7.30%"
"Mar 10, 2013","1,405.00","1,434.40","1,447.00","1,361.10","316.80K","-1.59%"
"Mar 03, 2013","1,427.70","1,418.00","1,474.00","1,390.35","291.37K","0.25%"
"Feb 24, 2013","1,424.20","1,443.85","1,459.25","1,345.00","306.28K","-1.08%"
"Feb 17, 2013","1,439.75","1,484.95","1,523.90","1,432.30","866.52K","-2.24%"
"Feb 10, 2013","1,472.75","1,590.00","1,595.70","1,462.00","347.66K","-7.28%"
"Feb 03, 2013","1,588.30","1,609.00","1,637.60","1,581.05","283.48K","-1.27%"
"Jan 27, 2013","1,608.70","1,617.30","1,634.00","1,580.00","512.37K","0.53%"
"Jan 20, 2013","1,600.20","1,559.90","1,607.65","1,530.00","846.68K","3.52%"
"Jan 13, 2013","1,545.75","1,555.00","1,577.25","1,482.35","506.91K","-1.29%"
"Jan 06, 2013","1,565.95","1,555.00","1,599.90","1,555.00","359.74K","1.42%"
"Dec 30, 2012","1,544.00","1,482.00","1,567.80","1,482.00","207.79K","2.92%"
"Dec 23, 2012","1,500.15","1,503.00","1,515.20","1,473.90","162.44K","-0.24%"
"Dec 16, 2012","1,503.70","1,475.15","1,528.95","1,472.20","368.64K","1.99%"
"Dec 09, 2012","1,474.40","1,509.00","1,523.45","1,448.95","195.90K","-2.36%"
"Dec 02, 2012","1,510.05","1,482.00","1,537.00","1,459.60","225.21K","2.48%"
"Nov 25, 2012","1,473.55","1,490.00","1,509.55","1,465.95","117.33K","-1.38%"
"Nov 18, 2012","1,494.15","1,442.20","1,514.95","1,442.20","390.72K","3.84%"
"Nov 11, 2012","1,438.90","1,468.00","1,477.00","1,434.50","257.66K","-1.76%"
"Nov 04, 2012","1,464.65","1,465.00","1,488.00","1,444.20","264.72K","-0.14%"
"Oct 28, 2012","1,466.65","1,364.60","1,476.40","1,339.00","954.58K","7.30%"
"Oct 21, 2012","1,366.85","1,369.70","1,379.00","1,348.20","101.22K","-0.17%"
"Oct 14, 2012","1,369.15","1,375.00","1,389.50","1,335.00","252.92K","-0.20%"
"Oct 07, 2012","1,371.90","1,389.50","1,410.00","1,348.00","255.11K","-1.18%"
"Sep 30, 2012","1,388.35","1,355.50","1,409.00","1,350.00","349.45K","2.85%"
"Sep 23, 2012","1,349.90","1,315.00","1,368.70","1,298.00","325.85K","2.83%"
"Sep 16, 2012","1,312.75","1,282.25","1,324.00","1,250.70","226.63K","4.09%"
"Sep 09, 2012","1,261.15","1,210.00","1,268.00","1,192.00","308.85K","4.69%"
"Sep 02, 2012","1,204.60","1,138.00","1,207.90","1,128.05","745.05K","5.80%"
"Aug 26, 2012","1,138.55","1,190.00","1,196.65","1,130.00","168.89K","-4.34%"
"Aug 19, 2012","1,190.25","1,190.00","1,206.00","1,161.90","222.01K","1.12%"
"Aug 12, 2012","1,177.05","1,178.80","1,198.70","1,165.90","241.14K","1.16%"
"Aug 05, 2012","1,163.50","1,128.00","1,174.00","1,125.95","291.34K","3.86%"
"Jul 29, 2012","1,120.30","1,089.00","1,143.50","1,082.30","385.10K","0.87%"
"Jul 22, 2012","1,110.65","1,105.00","1,124.50","1,075.00","1.05M","-2.96%"
