"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 02, 2017","195.00","199.40","199.40","193.10","18.94M","-1.17%"
"Mar 26, 2017","197.30","194.00","199.90","193.65","23.13M","1.83%"
"Mar 19, 2017","193.75","194.00","195.60","191.45","21.23M","-0.13%"
"Mar 12, 2017","194.00","198.45","198.70","192.50","19.32M","0.75%"
"Mar 05, 2017","192.55","191.85","197.60","190.05","34.15M","0.89%"
"Feb 26, 2017","190.85","200.00","200.00","188.00","30.53M","-4.17%"
"Feb 19, 2017","199.15","203.90","208.90","198.55","32.12M","-1.68%"
"Feb 12, 2017","202.55","201.70","203.95","199.10","21.07M","1.33%"
"Feb 05, 2017","199.90","202.25","205.80","198.30","28.99M","-0.89%"
"Jan 29, 2017","201.70","204.30","209.25","201.10","18.57M","-1.39%"
"Jan 22, 2017","204.55","199.85","206.95","199.05","20.19M","2.58%"
"Jan 15, 2017","199.40","197.00","203.70","195.10","34.67M","1.14%"
"Jan 08, 2017","197.15","189.20","199.90","185.05","45.12M","4.42%"
"Jan 01, 2017","188.80","183.50","192.85","182.60","16.94M","2.89%"
"Dec 25, 2016","183.50","182.35","185.10","176.55","19.03M","0.66%"
"Dec 18, 2016","182.30","184.15","185.00","179.00","12.44M","-0.82%"
"Dec 11, 2016","183.80","184.25","186.55","180.50","26.27M","-0.35%"
"Dec 04, 2016","184.45","183.70","186.60","180.85","16.85M","0.35%"
"Nov 27, 2016","183.80","187.00","194.80","182.50","28.63M","-2.57%"
"Nov 20, 2016","188.65","193.65","193.65","179.60","39.89M","-1.72%"
"Nov 13, 2016","191.95","182.55","196.40","182.55","24.33M","4.83%"
"Nov 06, 2016","183.10","174.30","190.00","166.95","28.68M","5.50%"
"Oct 30, 2016","173.55","175.95","179.55","171.25","10.44M","-1.34%"
"Oct 23, 2016","175.90","176.60","178.95","172.05","11.91M","-0.59%"
"Oct 16, 2016","176.95","176.30","180.75","174.80","19.82M","-0.42%"
"Oct 09, 2016","177.70","177.20","179.00","172.55","13.68M","0.42%"
"Oct 02, 2016","176.95","177.15","183.40","175.60","18.20M","0.23%"
"Sep 25, 2016","176.55","175.70","182.10","171.55","23.70M","0.34%"
"Sep 18, 2016","175.95","175.70","180.30","174.25","14.78M","-0.06%"
"Sep 11, 2016","176.05","182.60","183.40","173.15","23.31M","-4.22%"
"Sep 04, 2016","183.80","184.75","187.70","181.65","14.10M","0.00%"
"Aug 28, 2016","183.80","181.20","185.00","177.60","13.83M","1.66%"
"Aug 21, 2016","180.80","181.45","185.00","180.00","24.85M","-0.08%"
"Aug 14, 2016","180.95","178.80","183.20","174.25","40.05M","1.63%"
"Aug 07, 2016","178.05","177.00","180.00","172.45","16.33M","0.88%"
"Jul 31, 2016","176.50","176.00","181.20","173.70","26.45M","0.28%"
"Jul 24, 2016","176.00","166.55","178.85","166.15","36.50M","5.80%"
"Jul 17, 2016","166.35","164.60","170.00","161.80","15.94M","1.28%"
"Jul 10, 2016","164.25","166.10","171.15","160.70","25.58M","-0.12%"
"Jul 03, 2016","164.45","166.70","167.30","160.20","14.05M","-0.42%"
"Jun 26, 2016","165.15","153.05","166.40","153.00","27.82M","6.00%"
"Jun 19, 2016","155.80","157.00","157.85","150.60","14.82M","-0.80%"
"Jun 12, 2016","157.05","153.75","157.95","150.30","16.75M","1.72%"
"Jun 05, 2016","154.40","150.20","155.15","148.55","13.21M","2.66%"
"May 29, 2016","150.40","151.10","152.95","148.10","12.81M","-0.30%"
"May 22, 2016","150.85","145.60","152.40","145.00","22.40M","4.18%"
"May 15, 2016","144.80","144.95","146.00","142.60","11.77M","0.03%"
"May 08, 2016","144.75","142.50","145.20","139.50","16.29M","1.61%"
"May 01, 2016","142.45","143.00","146.80","140.50","10.62M","-0.66%"
"Apr 24, 2016","143.40","146.10","146.25","140.50","16.62M","-1.81%"
"Apr 17, 2016","146.05","145.00","149.90","142.75","14.46M","0.72%"
"Apr 10, 2016","145.00","140.65","145.35","140.55","17.72M","2.91%"
"Apr 03, 2016","140.90","138.75","141.30","138.30","22.70M","1.88%"
"Mar 27, 2016","138.30","137.90","141.00","136.50","25.66M","0.62%"
"Mar 20, 2016","137.45","136.55","139.35","136.25","12.85M","0.44%"
"Mar 13, 2016","136.85","138.60","140.25","136.50","21.91M","-0.98%"
"Mar 06, 2016","138.20","139.50","140.90","136.10","20.15M","-0.32%"
"Feb 28, 2016","138.65","134.35","139.15","129.20","42.53M","3.74%"
"Feb 21, 2016","133.65","141.00","141.50","131.05","27.63M","-5.21%"
"Feb 14, 2016","141.00","139.10","142.00","137.35","21.45M","1.92%"
"Feb 07, 2016","138.35","145.05","146.05","134.10","23.93M","-4.75%"
"Jan 31, 2016","145.25","147.90","150.35","141.45","32.37M","-1.76%"
"Jan 24, 2016","147.85","134.00","148.40","131.25","32.19M","11.08%"
"Jan 17, 2016","133.10","140.00","141.05","130.55","27.68M","-4.31%"
"Jan 10, 2016","139.10","140.50","146.75","138.30","22.54M","-1.80%"
"Jan 03, 2016","141.65","140.50","144.35","137.50","18.86M","0.46%"
"Dec 27, 2015","141.00","140.45","142.75","139.60","18.52M","0.64%"
"Dec 20, 2015","140.10","135.40","140.85","135.40","12.28M","3.47%"
"Dec 13, 2015","135.40","127.30","136.50","126.75","19.76M","5.78%"
"Dec 06, 2015","128.00","131.00","131.85","127.40","4.39M","-2.10%"
"Nov 29, 2015","130.75","133.55","138.00","130.45","4.76M","-2.06%"
"Nov 22, 2015","133.50","130.50","134.45","130.50","5.17M","1.99%"
"Nov 15, 2015","130.90","129.50","132.70","128.55","5.11M","0.54%"
"Nov 08, 2015","130.20","129.00","131.40","126.65","4.82M","-0.84%"
"Nov 01, 2015","131.30","128.75","133.90","127.15","15.87M","1.98%"
"Oct 25, 2015","128.75","136.50","136.85","126.20","10.06M","-5.57%"
"Oct 18, 2015","136.35","135.00","137.55","132.85","6.08M","1.00%"
"Oct 11, 2015","135.00","132.50","136.00","131.80","5.98M","1.85%"
"Oct 04, 2015","132.55","131.00","134.50","130.95","4.40M","1.53%"
"Sep 27, 2015","130.55","126.45","133.90","124.70","5.56M","4.11%"
"Sep 20, 2015","125.40","132.80","137.00","124.55","11.91M","-6.07%"
